goal,target,indicator,series,webmap id,dashboard id
1,1.1,1.1.1,SI_POV_DAY1,e27293c8a6a040239d265808f490c6fa,0ddb015a5d4a4ecca29e3632e456ab27
1,1.2,1.2.1,SI_POV_NAHC,0426416f854649539c60d46f17e66bb8,e2d55aabd2c24b2fbca82ecf8c9153a1
2,2.2,2.2.2,SH_STA_OVRWGT,c08470df76934880978316381e75462a,a53c42624135435891598ed2f84052b2
3,3.2,3.2.1,SH_DYN_MORT,1db826c860e54f5ab30ffa982f49368a,66d49d609ae349bdb1474c7ac028044d
3,3.4,3.4.1,SH_DTH_NCOM,cbb229b40782439db4549f8e4cc324f7,3bb130cb1b244ed0ba001ad8d482a734
5,5.5,5.5.1,SG_GEN_PARL,b550d6dadd7149a88eaba6938ae4d8bf,1dc9ea273dda4be5a09544327460d681
7,7.1,7.1.1,EG_ELC_ACCS,1e6d58cc1ad944b3b14001890ba87a41,59cc291a5c1948fbaab03b56725bf8f3
8,8.1,8.1.1,NY_GDP_PCAP,2fa0620aceda429e97ed04efad307271,1027d8b66b2f4145a1bbed714c665504
8,8.5,8.5.2,SL_TLF_UEM,28ba7fa415914e5483c0dc11ef0ff4a7,84ee5882b52c4e3e9e67f16bc4b8f596
9,9.4,9.4.1,EN_ATM_CO2GDP,ad9d5ed0f8054a6cbc2f70fa87204b12,07093cfe470242d1afff25709accc13f
11,11.1,11.1.1,EN_LND_SLUM,88d2ee3016944e9ba918ff62e6331dfa,d365945d60c642d68e0d1406b7a374eb
12,12.2,12.2.2,EN_MAT_DOMCMPC,0f8ef4525a9f44879d9b09d1d7cc576a,ed02164628024a219c1c936e05425372
15,15.1,15.1.1,AG_LND_FRST,c3fcd2148b2640449ef504ed4c6ade0a,cb5206b676664f0b82def6fe233153f0
17,17.4,17.4.1,DT_TDS_DECT,8ffea1a636604c7a844184b70c3058a0,ce9dca50a7bd4415a0ce673dc70c7a76
1,1.1,1.1.1,SI_POV_EMP1,f4758e06a13c408e97caa71d3671c2c5,8eb84f12841241be8695d287bf330caf
2,2.2,2.2.1,SH_STA_STUNT,5f1a096987b54dc984fe8b4686f70bd4,f8a3d91faf8646a68a9705a9ad699f71
4,4.2,4.2.2,SE_PRE_PARTN,43d0b6ecdac34d02b8acc8ddc6d0cf7e,89164bbc2dc544b6b932c26e85b9bd68
5,5.3,5.3.1,SP_DYN_MRBF18,122a398657c84f3284663dd5e6d77aef,7f5045f150eb47be900c93862ff683a6
6,6.1,6.1.1,SH_H2O_SAFE,082fe8f9e5784088a65bf7903fe420af,45696aad071542029ae81e98f1f3c427
6,6.2,6.2.1,SH_SAN_DEFECT,046dc7d43a6344eb9d147ff7fab79d00,90c530e5d4e949bda9eb303ed7087e62
6,6.2,6.2.1,SH_SAN_SAFE,84486868060e46efaafd2c2ebf517de1,1a616a967870421ea7a4ec484ccfe3da
9,9.c,9.c.1,IT_MOB_NTWK,921b09f1393d4c0eb0a8ea2b90f66629,40c0d65fd9eb449b89fb272f6a3d6ed4
10,10.4,10.4.1,SL_EMP_GTOTL,2e98d1b1427b4ddb91b99a96bfc99c3b,91f4ca1a7da843559827ab1294432a9c
16,16.9,16.9.1,SG_REG_BRTH,631d56e982bc4ef78d9e2edad838a2fa,5ccb646af4a64e0dae8aff6db604c0c5
4,4.5,4.5.1,SE_GPI_MATACH,883a5548a1bf476e92b6e4282f4156fa,0203ce4508fd48ab8dfefb7896561c94
4,4.5,4.5.1,SE_GPI_REAACH,169bffb8f87d48c5bc890aa66654414d,2089d3540e504f4282a7664f915f8058
2,2.1,2.1.1,SN_ITK_DEFC,97e8f5a0268a48adbd717352f96b5ada,b0087b39204643c8b5698710dfdeb2a2
12,12.2,12.2.2,EN_MAT_DOMCMPG,a2bd5f476104425fa8e914bad84c43c9,b78c124254684183a3b0d2cebda540e0
15,15.1,15.1.2,ER_PTD_FRWRT,c04752d793344f1e82da2e5b00860356,9c0572ee5d704984bf2a64ffe56fae53
15,15.1,15.1.2,ER_PTD_TERRS,e7839b3fe38b42cf9e906036e3452e39,a4759309e41b4ebe825033d2116afba6
7,7.1,7.1.2,EG_EGY_CLEAN,4beaebfc64fd4227a60251612b60712d,8079022bc98845aea35b1327eb89be8f
14,14.5,14.5.1,ER_MRN_MARIN,a138b304d90e41918914e2398b394606,2ff06152ec784069b577cf7d8b5d3a90
9,9.5,9.5.1,GB_XPD_RSDV,c51efeb16be44972872a55a7222d5f4d,840a503be9ec4e70aaf0496327eaa1bd
17,17.3,17.3.2,BX_TRF_PWKR,e0d48470d59045d2ab01cbbdba447882,47810a59ce15461fb4a2adc85a26db79
11,11.6,11.6.2,EN_ATM_PM25,4fa07871d2234eaa9529473624a0c061,53eaae6bd2cc408794f1ad864cd6e9da
16,16.1,16.1.1,VC_IHR_PSRC,f2a3d984ef38469ab39e911a3ff08053,95ee8e63b54b43de824dbfb937a923c5
13,13.1,13.1.2,SG_DSR_LEGREG,3b75e5012ab24185a4b5c55404b42378,55135a99641c47b2b54ce37d1d3ffa7f
17,17.18,17.18.3,SG_STT_NSDSFND,f2a2567f02664d228b14a24485e72997,13bd90fb5acf45e1abd691e8d94264a6
3,3.3,3.3.1,SH_HIV_INCD,b41d5600ca8942c9ae5aecbe7e5cb372,819ac6346d334116affced34ec92dd72
3,3.1,3.1.1,SH_STA_MMR,c51f13fc479f477fa66337f743d688bd,693ecc177a2640a88c63d6c223b1fd92
17,17.6,17.6.2,IT_NET_BBP,73b7baf18da144c2b243ded0860bcbbb,221a8d732f0749cdbdceeb9a4ad182b1
2,2.2,2.2.2,SH_STA_WASTE,ad7e2411c239400d86da241415475c1c,90ba83080c644d4e84879497eb6cef14
3,3.3,3.3.2,SH_TBS_INCID,36d3945a3c66465e862388e544794316,39f08d688e3a4cfdbfd4fe9c90588848
3,3.3,3.3.3,SH_STA_MALR,7baa6ccb4dc3446189d3efd339c9e027,b818b8177624403293f28983b97d2314
4,4.5,4.5.1,SE_GPI_TRATEA,8320c61c609c4a9ea469b27ea5b850d7,aca91ec1a77a4ec097d97f00675d99d4
5,5.5,5.5.2,IC_GEN_MGTL,147c5de866ba485aa2dd18cc0c4d01b8,83fd202edc18437aa1dff21ae32f06f1
6,6.2,6.2.1,SH_SAN_DEFECT,cd88ffa5adda49c8a8937dfc9d948169,d3caafe41d3b41958e6be48750c5289a
6,6.2,6.2.1,SH_SAN_DEFECT,ff4c77272ac248b7806b2f7d091af534,1cedede9c3a345b29889a3557a86fc43
6,6.2,6.2.1,SH_SAN_SAFE,3eb7651387b44ceea2dfdd15cb6b8572,bda612ea20464996ade5fd6eadd03b21
6,6.2,6.2.1,SH_SAN_SAFE,5ddfde267f354211a8330d5ec6942e45,d3c1673fe0794a2581d9748a933e4924
8,8.5,8.5.2,SL_TLF_UEM,d52167d13e234870b5420e4eef53d380,4a2b88e4f0704b82926dfe2f77dc3296
8,8.5,8.5.2,SL_TLF_UEM,67f395f47b604f7e9125f0de55f394ab,99e3ba3e725a4763ae2a79ffb3f97499
8,8.5,8.5.2,SL_TLF_UEM,403dc3ce2f7d491f92f8028eb8fd62e0,ae6c0807d1e74b6bbf100936ba02aafd
17,17.18,17.18.3,SG_STT_NSDSIMPL,3692e3f135d34a478de5a77da922e001,a6ab0bb185b94ccd8325fa3be2f090e8
